motif_id	tf_name	n_active_hits	n_background_hits	n_active_total	n_background_total	odds_ratio	pvalue	fdr
MA0841.2	NFE2	132	73	213	237	3.661085743277524	2.3217310998302015e-11	2.026871250151766e-08
MA0496.4	MAFK	108	51	213	237	3.7512605042016807	7.099927103706678e-11	3.099118180767965e-08
MA0491.3	JUND	133	80	213	237	3.26265625	8.296613765878656e-10	2.4143146058706886e-07
MA0501.2	MAF::NFE2	129	77	213	237	3.1910946196660483	1.738493278773306e-09	3.79426158092274e-07
MA0490.3	JUNB	136	86	213	237	3.101177891875566	3.7490015889725085e-09	6.545756774346e-07
MA0089.3	MAFG::NFE2L1	104	55	213	237	3.1572977481234363	1.0345466538477356e-08	1.5052653813484553e-06
MA0039.5	KLF4	164	123	213	237	3.1020408163265305	2.0418923340645507e-08	2.5465314394833614e-06
MA0477.3	FOSL1	139	95	213	237	2.8076813655761024	6.782619357018507e-08	7.401533373346446e-06
MA1970.2	TRPS1	138	96	213	237	2.7025	1.8970676100406928e-07	1.840155581739472e-05
MA0655.1	JDP2	147	108	213	237	2.6603535353535355	3.8131775214445906e-07	3.325010752545572e-05
MA0037.5	Gata3	140	100	213	237	2.627397260273973	4.189589722566013e-07	3.325010752545572e-05
MA0150.3	Nfe2l2	115	73	213	237	2.636287391668996	4.7637189334221927e-07	3.465605524064645e-05
MA1961.2	PATZ1	155	120	213	237	2.605603448275862	1.0448682830280755e-06	7.016692392950077e-05
MA1630.3	ZNF281	78	43	213	237	2.60671834625323	7.752921294423549e-06	0.0004834500207165542
MA2328.1	ZBED4	93	58	213	237	2.391810344827586	1.2539807366923464e-05	0.0007298167887549456
MA1114.2	PBX3	22	3	213	237	8.984293193717278	1.6918624148910486e-05	0.0009231224301249284
MA0471.3	E2F6	146	116	213	237	2.273031394750386	1.7992626545256517e-05	0.0009239742925887611
MA0489.3	Jun	144	114	213	237	2.251716247139588	2.078013297725094e-05	0.0010078364493966705
MA0624.3	Nfatc1	162	137	213	237	2.31859167024474	2.910543572502234e-05	0.0011829366621002762
MA0742.2	KLF12	158	132	213	237	2.2851239669421486	2.981054589485232e-05	0.0011829366621002762
MA1137.2	FOSL1::JUNB	154	127	213	237	2.2607767249432804	2.9511641542790923e-05	0.0011829366621002762
MA1101.3	BACH2	150	122	213	237	2.2443403590944575	2.830580496793779e-05	0.0011829366621002762
MA1134.2	FOS::JUNB	158	133	213	237	2.2463431305536568	4.331550468033937e-05	0.0016441058950407074
MA1130.2	FOSL2::JUN	167	145	213	237	2.303448275862069	5.196205355216647e-05	0.0018901196979600552
MA0865.3	E2F8	190	178	213	237	2.738153395212506	7.214166550459897e-05	0.0024222951532890348
MA1128.2	FOSL1::JUN	164	142	213	237	2.23914918079908	7.202094504790288e-05	0.0024222951532890348
MA0741.1	KLF16	170	150	213	237	2.2930232558139534	7.685574079086532e-05	0.002485002285571312
MA0659.4	Mafg	47	22	213	237	2.7669769989047097	0.00013303621008637148	0.004147878978764368
MA0099.4	FOS::JUN	167	149	213	237	2.1441494018091625	0.00021829159614512875	0.006571329773610255
MA1144.2	FOSL2::JUND	166	148	213	237	2.12392179413456	0.00024132616708918896	0.007022591462295398
MA1480.2	DPRX	197	192	213	237	2.8857421875	0.0002565410872033216	0.007224528036403218
MA0591.2	Bach1::Mafk	80	53	213	237	2.088239466591006	0.00030395470950355763	0.00829226441864393
MA1723.2	PRDM9	46	23	213	237	2.562874251497006	0.00036416242168047354	0.009633751337183437
MA0746.3	SP3	174	160	213	237	2.1471153846153848	0.0004046281180119637	0.010389421971307185
MA2341.1	FEZF2	151	131	213	237	1.9706968726914553	0.00042667537697153716	0.01064250297417577
